No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
252,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【中国監督部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYuhMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYuhMAH
253,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【中部監督部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYuXMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYuXMAX
254,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【九州監督部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYurMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYurMAH
255,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【北海道監督部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYu3MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYu3MAH
256,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【四国支部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYumMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYumMAH
257,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【東北支部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYuIMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYuIMAX
258,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【近畿支部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYucMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYucMAH
259,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和８年度当初）【関東監督部】,全国,従業員数の制約なし,2212849000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYuSMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYuSMAX
260,×,2027-03-31 23:45,208.7,深谷市中小企業者経営革新計画策定奨励金,埼玉県,300名以下,50000,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYCpMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYCpMAP
261,×,2027-03-31 23:45,208.7,深谷市起業家支援事業補助金,埼玉県,300名以下,200000,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDXqMMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXqMMAX
262,×,2027-03-31 23:59,208.7,【三重県　鈴鹿市】令和8年度創業促進補助金,三重県,従業員数の制約なし,300000,対象地域が三重県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYsSMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYsSMAX
263,×,2027-03-31 23:59,208.7,【令和８年度】医療機関等におけるマイナンバーカード利活用推進事業補助金,東京都,従業員数の制約なし,141000,医療機関等向け,対象者,a0WJ200000CDbHxMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbHxMAL
264,×,2027-03-31 23:59,208.7,【福岡市】グリーンビル促進事業（都心部のオフィスビルなどへの緑化助成）,福岡県,従業員数の制約なし,30000000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYCnMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYCnMAP
265,×,2027-03-31 23:59,208.7,【長野県茅野市】インターンシップ等促進事業補助金,長野県,従業員数の制約なし,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1uMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1uMAH
266,×,2027-03-31 23:59,208.7,【長野県茅野市】中小企業人材育成等支援補助金,長野県,300名以下,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1pMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1pMAH
267,×,2027-03-31 23:59,208.7,【長野県茅野市】中小企業振興補助金（商業関係）,長野県,従業員数の制約なし,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1GMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1GMAX
268,×,2027-03-31 23:59,208.7,【長野県茅野市】新商品開発事業補助金,長野県,従業員数の制約なし,300000,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1fMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1fMAH
269,×,2027-03-31 23:59,208.7,【長野県茅野市】特定創業者等支援奨励金（事業承継）,長野県,300名以下,100000,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY6dMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6dMAH
270,×,2027-03-31 23:59,208.7,【長野県茅野市】特定創業者等支援奨励金（特定創業者）,長野県,300名以下,100000,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY6cMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6cMAH
271,×,2027-03-31 23:59,208.7,【長野県茅野市】雇用促進奨励金,長野県,従業員数の制約なし,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1zMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1zMAH
272,△,2027-03-31 23:59,208.7,京都型グローバル・ニッチ・トップ企業育成補助金,全国,従業員数の制約なし,100000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXFgMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXFgMAP
273,△,2027-03-31 23:59,208.7,京都市企業立地促進制度補助金［お試し立地支援制度］,全国,従業員数の制約なし,500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXFiMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXFiMAP
274,△,2027-03-31 23:59,208.7,京都市企業立地促進制度補助金［市内初進出支援制度］,全国,従業員数の制約なし,70000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXFfMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXFfMAP
275,△,2027-03-31 23:59,208.7,京都市企業立地促進制度補助金［本社・工場等新増設等支援制度］,全国,従業員数の制約なし,100000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXFhMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXFhMAP
276,×,2027-03-31 23:59,208.7,今治市企業立地促進奨励金,愛媛県,従業員数の制約なし,0,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb86MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb86MAD
277,×,2027-03-31 23:59,208.7,今治市指定区域大規模用地取得奨励金,愛媛県,従業員数の制約なし,0,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb8CMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb8CMAT
278,×,2027-03-31 23:59,208.7,今治市指定区域用地取得奨励金,愛媛県,従業員数の制約なし,500000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb8BMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb8BMAT
279,×,2027-03-31 23:59,208.7,今治市設備投資奨励金,愛媛県,300名以下,10000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb8AMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb8AMAT
280,×,2027-03-31 23:59,208.7,今治市賃貸借型企業立地奨励金（賃借料に対する奨励金）,愛媛県,従業員数の制約なし,18000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb87MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb87MAD
281,×,2027-03-31 23:59,208.7,今治市賃貸借型企業立地奨励金（開設費用に対する奨励金）,愛媛県,従業員数の制約なし,5000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb88MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb88MAD
282,×,2027-03-31 23:59,208.7,今治市雇用促進奨励金,愛媛県,従業員数の制約なし,100000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDb89MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb89MAD
283,△,2027-03-31 23:59,208.7,令和8年度職場内障害者サポーター事業,東京都,従業員数の制約なし,240000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY2OMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY2OMAX
284,×,2027-03-31 23:59,208.7,令和６年度こどもDX推進に向けた医療機関等におけるマイナンバーカード利活用推進事業補助金,東京都,従業員数の制約なし,141000,医療機関等向け,対象者,a0WJ20000087jeOMAQ,https://www.jgrants-portal.go.jp/subsidy/a0WJ20000087jeOMAQ
285,×,2027-03-31 23:59,208.7,令和７年度こどもDX推進に向けた医療機関等におけるマイナンバーカード利活用推進事業補助金,東京都,従業員数の制約なし,141000,医療機関等向け,対象者,a0WJ200000CDRArMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDRArMAP
286,△,2027-03-31 23:59,208.7,令和８年_設備投資_事業完了後申請,茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 山梨県,従業員数の制約なし,200000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXoBMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXoBMAX
287,×,2027-03-31 23:59,208.7,令和８年度介護休業取得応援奨励金,東京都,300名以下,550000,介護・福祉事業者向け,対象者,a0WJ200000CDa6IMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDa6IMAT
288,×,2027-03-31 23:59,208.7,令和８年度原子力発電施設等の周辺地域における大規模開発地区への企業立地促進事業費補助金,青森県,従業員数の制約なし,55000000,対象地域が青森県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDacWMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDacWMAT
289,△,2027-03-31 23:59,208.7,岡崎ものづくり支援補助金（見本市等出展事業）,愛知県,従業員数の制約なし,300000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW4MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW4MAP
290,△,2027-03-31 23:59,208.7,岡崎市中小企業事業資金保証料補助金,愛知県,300名以下,0,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYVzMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYVzMAP
291,△,2027-03-31 23:59,208.7,岡崎市企業再投資促進奨励金（県連携）,愛知県,従業員数の制約なし,1000000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW9MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW9MAP
292,△,2027-03-31 23:59,208.7,岡崎市創業資金保証料補助金,愛知県,300名以下,200000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW0MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW0MAP
293,△,2027-03-31 23:59,208.7,岡崎市創業資金利子補給補助金,愛知県,300名以下,200000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW1MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW1MAP
294,△,2027-03-31 23:59,208.7,岡崎市工場等（倉庫等）建設奨励金,愛知県,従業員数の制約なし,1000000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW8MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW8MAP
295,△,2027-03-31 23:59,208.7,岡崎市消費者向け製品製造工場等建設奨励金,愛知県,従業員数の制約なし,2500000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYWAMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYWAMA5
296,△,2027-03-31 23:59,208.7,岡崎市高度先端産業立地奨励金（県連携）,愛知県,従業員数の制約なし,1000000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYWBMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYWBMA5
297,△,2027-03-31 23:59,208.7,廃止石油坑井封鎖事業費補助金（令和8年度：関東東北産業保安監督部東北支部）,全国,従業員数の制約なし,133280000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYSUMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYSUMA5
298,△,2027-03-31 23:59,208.7,廃止石油坑井封鎖事業費補助金（令和8年度：関東東北産業保安監督部）,全国,従業員数の制約なし,133280000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYSKMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYSKMA5
299,△,2027-03-31 23:59,208.7,携帯電話等エリア整備事業,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 山梨県 / 長野県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県 / 沖縄県,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDOsKMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDOsKMAX
300,△,2027-03-31 23:59,208.7,東京都環境保全資金融資あっせん,東京都,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDK7KMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDK7KMAX
301,△,2027-03-31 23:59,208.7,電波遮へい対策事業（トンネル）,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 山梨県 / 長野県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県 / 沖縄県 / 中国地方 / 九州・沖縄地方 / 北海道地方 / 四国地方 / 東北地方 / 東海・北陸地方 / 近畿地方 / 関東・甲信越地方,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W2x000003QZLqEAO,https://www.jgrants-portal.go.jp/subsidy/a0W2x000003QZLqEAO
302,△,2027-04-30 12:00,238.2,令和8年度「年収の壁突破」総合対策促進奨励金,東京都,従業員数の制約なし,500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYk5MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYk5MAH
303,△,2027-05-31 19:00,269.5,令和８年度 医学技術振興事業,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdL9MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdL9MAL
304,△,2027-05-31 23:59,269.7,EMPの普及促進に係る補助金（新）,東京都,従業員数の制約なし,51900000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W2x000005iqyXEAQ,https://www.jgrants-portal.go.jp/subsidy/a0W2x000005iqyXEAQ
305,△,2027-06-01 00:00,269.7,【令和8年度】地域医療確保に係る緊急・臨時支援事業支援金,東京都,従業員数の制約なし,14541000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDbosMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbosMAD
306,△,2027-06-01 00:00,269.7,【令和8年度】地域医療確保に係る緊急・臨時支援事業支援金及び急性期医療臨時支援事業支援金,東京都,従業員数の制約なし,15589000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDaTOMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaTOMA1
307,△,2027-06-30 17:00,299.4,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（22次締切）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYimMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYimMAH
308,△,2028-01-01 16:45,484.4,令和6年度　ES（社員満足度）向上による若手人材確保・定着事業助成金～１年目申請用～,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ2000000pSPQMA2,https://www.jgrants-portal.go.jp/subsidy/a0WJ2000000pSPQMA2
309,△,2028-03-31 17:00,574.4,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（23次締切）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdtMMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtMMAT
310,×,2028-03-31 23:59,574.7,【三重】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,三重県,従業員数の制約なし,6000000,対象地域が三重県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6AMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6AMAT
311,△,2028-03-31 23:59,574.7,【京都】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,京都府,従業員数の制約なし,6000000,京都府に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDe6CMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6CMAT
312,△,2028-03-31 23:59,574.7,【令和8年度】高齢者受入体制確保事業,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeYjMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeYjMAL
313,×,2028-03-31 23:59,574.7,【佐賀】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,佐賀県,従業員数の制約なし,6000000,対象地域が佐賀県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6WMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6WMAT
314,×,2028-03-31 23:59,574.7,【兵庫】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,兵庫県,従業員数の制約なし,6000000,対象地域が兵庫県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6EMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6EMAT
315,×,2028-03-31 23:59,574.7,【北海道】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,北海道,従業員数の制約なし,6000000,対象地域が北海道で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDducMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDducMAD
316,×,2028-03-31 23:59,574.7,【千葉】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,千葉県,従業員数の制約なし,6000000,対象地域が千葉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdunMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdunMAD
317,×,2028-03-31 23:59,574.7,【和歌山】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,和歌山県,従業員数の制約なし,6000000,対象地域が和歌山県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6GMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6GMAT
318,×,2028-03-31 23:59,574.7,【埼玉】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,埼玉県,従業員数の制約なし,6000000,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdumMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdumMAD
319,×,2028-03-31 23:59,574.7,【大分】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,大分県,従業員数の制約なし,6000000,対象地域が大分県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6ZMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6ZMAT
320,×,2028-03-31 23:59,574.7,【大阪】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,大阪府,従業員数の制約なし,6000000,対象地域が大阪府で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6DMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6DMAT
321,×,2028-03-31 23:59,574.7,【奈良】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,奈良県,従業員数の制約なし,6000000,対象地域が奈良県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6FMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6FMAT
322,×,2028-03-31 23:59,574.7,【宮城】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,宮城県,従業員数の制約なし,6000000,対象地域が宮城県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdufMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdufMAD
323,×,2028-03-31 23:59,574.7,【宮崎】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,宮崎県,従業員数の制約なし,6000000,対象地域が宮崎県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6aMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6aMAD
324,×,2028-03-31 23:59,574.7,【富山】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,富山県,従業員数の制約なし,6000000,対象地域が富山県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdurMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdurMAD
325,×,2028-03-31 23:59,574.7,【山口】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,山口県,従業員数の制約なし,6000000,対象地域が山口県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6QMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6QMAT
326,×,2028-03-31 23:59,574.7,【山形】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,山形県,従業員数の制約なし,6000000,対象地域が山形県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDduhMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDduhMAD
327,×,2028-03-31 23:59,574.7,【山梨】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,山梨県,従業員数の制約なし,6000000,対象地域が山梨県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe65MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe65MAD
328,×,2028-03-31 23:59,574.7,【岐阜】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,岐阜県,従業員数の制約なし,6000000,対象地域が岐阜県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe67MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe67MAD
329,×,2028-03-31 23:59,574.7,【岡山】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,岡山県,従業員数の制約なし,6000000,対象地域が岡山県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6OMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6OMAT
330,×,2028-03-31 23:59,574.7,【岩手】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,岩手県,従業員数の制約なし,6000000,対象地域が岩手県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdueMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdueMAD
331,×,2028-03-31 23:59,574.7,【島根】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,島根県,従業員数の制約なし,6000000,対象地域が島根県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6IMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6IMAT
332,×,2028-03-31 23:59,574.7,【広島】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,広島県,従業員数の制約なし,6000000,対象地域が広島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6PMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6PMAT
333,×,2028-03-31 23:59,574.7,【徳島】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,徳島県,従業員数の制約なし,6000000,対象地域が徳島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6RMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6RMAT
334,×,2028-03-31 23:59,574.7,【愛媛】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,愛媛県,従業員数の制約なし,6000000,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6TMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6TMAT
335,△,2028-03-31 23:59,574.7,【愛知】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,愛知県,従業員数の制約なし,6000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDe69MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe69MAD
